"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"AGPS","OK",0.0598172184108213,1.55630982258962,0.0075365057275634,"AGPS",0.0676814514198737
"AGR2","OK",0.651570608756829,-0.389564262830223,-0.00199191015237164,"AGR2",0.666851853056152
"AGRN","OK",1.93299201941549e-252,33.9160339806773,0.169840513180882,"AGRN",1.1954010274266e-251
"AGRP","OK",0.350133260174712,0.384960716678152,0.00154035035796888,"AGRP",0.372823690519542
"AGT","OK",0,105.604631232885,0.530794182858408,"AGT",0
"AGTPBP1","OK",2.43919414489917e-06,4.56995075660339,0.0226716558066979,"AGTPBP1",3.36417061336551e-06
"AGTR1","OK",8.65008330404891e-16,7.95930974048316,0.0370203728085111,"AGTR1",1.50834553908576e-15
"AGTRAP","OK",1.72892623133501e-97,20.9208649967258,0.104910305013579,"AGTRAP",6.19817389362129e-97
"AGXT2","OK",0.618581276730242,-0.30175682441016,-0.00156712898377852,"AGXT2",0.637370051825509
"AHCTF1","OK",8.48261008205281e-09,5.64040342531413,0.0280679593505731,"AHCTF1",1.26508829424864e-08
"AHCY","OK",9.51626532375657e-89,19.9380541759745,0.0999495382730044,"AHCY",3.26080278339075e-88
"AHCYL1","OK",0,65.1170090714119,0.327270851104361,"AHCYL1",0
"AHCYL2","OK",0,46.4531149298551,0.233154003938518,"AHCYL2",0
"AHDC1","OK",3.71141155810825e-42,13.5547860796624,0.0677409806249888,"AHDC1",9.0958630946232e-42
"AHI1","OK",6.57637384415224e-57,15.854182746505,0.0794552009142103,"AHI1",1.83865204849469e-56
"AHNAK","OK",0,63.2867573644249,0.317982661198996,"AHNAK",0
"AHNAK2","OK",9.85641096850856e-154,26.3862376981374,0.132018850183458,"AHNAK2",4.51454120394444e-153
"AHR","OK",3.11759477464457e-273,35.2983029106279,0.177177108052332,"AHR",2.0395257418858e-272
"AHRR","OK",6.77807981258046e-08,5.27116355969134,0.0256022946879817,"AHRR",9.82616395906763e-08
"AHSA1","OK",1.50950768148005e-35,12.3884285033319,0.0620196560552094,"AHSA1",3.46187515176614e-35
"AHSA2P","OK",4.23781393507392e-09,5.75871576700315,0.0286641036845955,"AHSA2P",6.36453830518434e-09
"AICDA","OK",0.450094939912615,0.125421485024452,0.00027375565332249,"AICDA",0.473626464171972
"AIDA","OK",9.43478588258515e-06,4.27786343908878,0.0211994834175518,"AIDA",1.27416951585082e-05
"AIF1","OK",0,161.863922210633,0.813995298396269,"AIF1",0
"AIF1L","OK",0,78.7538092017435,0.395501271735935,"AIF1L",0
"AIFM1","OK",1.63426033757828e-11,6.6339357856697,0.0330330207303961,"AIFM1",2.59844361652058e-11
"AIFM2","OK",9.16120488978334e-06,4.28441080133613,0.0211567309584613,"AIFM2",1.23763294798259e-05
"AIFM3","OK",0,50.5466082988476,0.251594748499837,"AIFM3",0
"AIG1","OK",4.43843636725092e-64,16.8598802415245,0.0844986117222941,"AIG1",1.3113964682988e-63
"CRYBG1","OK",1.93185973911155e-130,24.2721083663797,0.121602062684476,"CRYBG1",8.11570488440491e-130
"AIM2","OK",0.295971945555374,0.536021211056251,0.00237242682569654,"AIM2",0.317582285962317
"AIMP1","OK",8.47257102196955e-13,7.05756015356229,0.0352101161157794,"AIMP1",1.38499020129234e-12
"AIMP2","OK",4.22267346476949e-74,18.1729990712914,0.0910684766161924,"AIMP2",1.33978550325101e-73
"AIP","OK",2.32345430761771e-20,9.17191465182189,0.0458301376712952,"AIP",4.36465234090207e-20
"AIRE","OK",0.0170812723115109,2.1181478919377,0.00977479527286467,"AIRE",0.020003909453994
"AJAP1","OK",2.54044064434044e-34,12.1599193706832,0.0598200146932368,"AJAP1",5.74847067979368e-34
"AJUBA","OK",1.97015226216419e-10,6.2563742841261,0.0304982150701782,"AJUBA",3.05698392270054e-10
"AK1","OK",0,44.8116183200002,0.225007799697065,"AK1",0
"AK2","OK",3.81931387960857e-176,28.2719949104298,0.141927654126029,"AK2",1.88797473896984e-175
"AK3","OK",2.54598233474749e-135,24.7299772663398,0.124058190215989,"AK3",1.0889474745651e-134
"AK4","OK",0,75.2219887398474,0.377942731159644,"AK4",0
"AK5","OK",0,74.951803525054,0.374447506384337,"AK5",0
"AK7","OK",0.0061608278679983,2.50279595872839,0.0113709233734172,"AK7",0.0074067306685334
"AK8","OK",8.85270320908601e-18,8.50793784060788,0.0420747946601904,"AK8",1.59721403161825e-17
"AKAP1","OK",2.19767048239949e-12,6.92384910416644,0.0344835312675342,"AKAP1",3.56172673085607e-12
"AKAP10","OK",1.32207080162169e-08,5.56350178305426,0.0276677509524871,"AKAP10",1.95898433549969e-08
"AKAP11","OK",2.95032371030014e-08,5.42178606802569,0.0269585467457634,"AKAP11",4.32093190994938e-08
"AKAP12","OK",0,71.2401837863586,0.357829808346139,"AKAP12",0
"AKAP13","OK",0,87.1512193358575,0.438134466619874,"AKAP13",0
"AKAP14","OK",0.736675665485442,-0.6331301284256,-0.00324672542428633,"AKAP14",0.742650437165642
"AKAP17A","OK",0.240928856872036,0.703317810423584,0.00315643624685251,"AKAP17A",0.260754042967588
"AKAP2","OK",1.77770571689414e-95,20.6987404566091,0.102660711002036,"AKAP2",6.30777559123714e-95
"AKAP3","OK",0.052766342294928,1.61860311438441,0.00748104287866735,"AKAP3",0.0599033920092249
"AKAP5","OK",5.42139788460724e-08,5.31200108528175,0.0258693080187149,"AKAP5",7.88395300125567e-08
"AKAP6","OK",2.22222461183939e-246,33.5024171969042,0.167944005784105,"AKAP6",1.34664992015559e-245
"AKAP7","OK",1.4924189616978e-94,20.5959328331365,0.103142872100037,"AKAP7",5.26680926600026e-94
"AKAP8","OK",1.05458475479484e-07,5.18944927270361,0.0258091483052964,"AKAP8",1.52083992226768e-07
"AKAP8L","OK",1.87265885501427e-29,11.2075221207445,0.0560597819577235,"AKAP8L",4.01006103842679e-29
"AKAP9","OK",5.24866046280867e-48,14.5098347121196,0.0727068521744998,"AKAP9",1.35420596285713e-47
"AKIP1","OK",1.23740787280525e-07,5.15959730419316,0.0256551490853428,"AKIP1",1.78070812133344e-07
"AKIRIN1","OK",2.24653946481793e-50,14.8792801236478,0.0745606599198635,"AKIRIN1",5.92971342286114e-50
"AKIRIN2","OK",2.95241397063567e-26,10.5358486031194,0.0527077280243908,"AKIRIN2",6.06460914392086e-26
"AKNA","OK",4.37805935758422e-145,25.6216447309025,0.128498566864616,"AKNA",1.93506896089967e-144
"AKNAD1","OK",4.28722982306547e-09,5.75675819072893,0.0283396200041677,"AKNAD1",6.43637868421308e-09
"AKR1A1","OK",5.09390669516325e-53,15.2813061393095,0.0765808331741032,"AKR1A1",1.38010120993916e-52
"AKR1B1","OK",2.90066443779161e-105,21.7580087877858,0.109167835376721,"AKR1B1",1.07982439507455e-104
"AKR1C1","OK",0,42.0763915085533,0.209327993528335,"AKR1C1",0
"AKR1C2","OK",0,60.2158379000191,0.295798043534998,"AKR1C2",0
"AKR1C3","OK",7.42297932385202e-187,29.1302914431761,0.145758695913568,"AKR1C3",3.83344028957445e-186
"AKR1E2","OK",1.07228733008562e-19,9.00561649824617,0.0444473459097128,"AKR1E2",1.99452302899065e-19
"AKR7A2","OK",4.99174047992072e-94,20.5373646157473,0.102996233292631,"AKR7A2",1.75779650161222e-93
"AKR7A3","OK",0.175517934867701,0.932581924269307,0.00431116866449869,"AKR7A3",0.192118750568081
"AKR7L","OK",0.262892488837311,0.634453387368334,0.00284040930655145,"AKR7L",0.28356375170495
"AKT1","OK",2.07698564689273e-51,15.0377554975986,0.0753334418852613,"AKT1",5.54055656755478e-51
"AKT1S1","OK",1.13985661212486e-15,7.92509535750632,0.0395150567407669,"AKT1S1",1.98399628169205e-15
"AKT2","OK",1.97827017421188e-66,17.1768757161297,0.08606078529488,"AKT2",5.95969902806514e-66
"AKT3","OK",4.18131904994323e-31,11.5392757210877,0.0577079437984023,"AKT3",9.15605407345692e-31
"AKTIP","OK",2.08533167487654e-57,15.9261806525919,0.0797090485040809,"AKTIP",5.84431250637086e-57
"ALAD","OK",1.89661704255782e-06,4.62240124365829,0.0229247922655582,"ALAD",2.62473358014355e-06
"ALAS1","OK",2.04550849056241e-11,6.60074318901341,0.0328975735266765,"ALAS1",3.2447164882443e-11
"ALAS2","OK",0.620448177952011,-0.306658075433894,-0.00171013551575024,"ALAS2",0.639091452529896
"ALB","OK",0.037780064546056,1.77704929825236,0.00760594671969686,"ALB",0.0433189769032765
"ALCAM","OK",6.53303171389672e-249,33.6758138363698,0.169097935299946,"ALCAM",3.99464346216223e-248
"ALDH16A1","OK",8.07870785933157e-66,17.0950439613087,0.0855506127138108,"ALDH16A1",2.4194519049751e-65
"ALDH18A1","OK",4.74979840460493e-28,10.9175773117163,0.054560664280731,"ALDH18A1",9.99624756652218e-28
"ALDH1A1","OK",0,43.3244427970479,0.21677971846217,"ALDH1A1",0
"ALDH1A2","OK",1.49769401218864e-167,27.5641440184301,0.136834895005176,"ALDH1A2",7.21507443800815e-167
"ALDH1A3","OK",0,42.6102968022162,0.213184408472912,"ALDH1A3",0
"ALDH1B1","OK",6.32616648047224e-17,8.27680578582693,0.0411880373827498,"ALDH1B1",1.12578107979814e-16
"ALDH1L1","OK",0,78.8020985013973,0.395815605992571,"ALDH1L1",0
"ALDH1L2","OK",4.49188481213129e-05,3.91651642897773,0.0192904136086281,"ALDH1L2",5.91710706220643e-05
"ALDH2","OK",3.29721482138934e-233,32.5854416824856,0.163618298100643,"ALDH2",1.93332909386686e-232
"ALDH3A1","OK",0.5262733945808,-0.0659053127253049,-0.00059835123732596,"ALDH3A1",0.549396098969737
